wordpilot_id	english	turkish_gloss_used	freedict_source_row	original_source_line
2037	interior	içerideki, iç yerlere ait, dahili	16156	içerideki, iç yerlere ait, dahili; sahil veya huduttan uzak; içten, manevi;  iç, dahil; iç yerler, iç kısım.      interior decoration iç dekorasyon. interior planet güneş ile dünya arasında bulunan gezegen.
2038	legislation	mevzuat; yasama	17641	kanun yapma, yasama; yasa, kanunlar.
2039	retail	perakende satış	26203	.perakende satış;  perakende;  perakende olarak satmak; ayrıntılarıyle anlatmak: tekrar anlatmak.
2040	protein	protein	24546	protein.
2041	reform	reform; iyileştirme	25804	ıslah etmek, reform yapmak; yenileyip daha iyi hale koymak; ıslah olmak; nefsini ıslah etmek;  ıslah, reform; nefsini ıslah. Reform Judaism ABD'de reformcu Musevilik.
2042	conduct	yürütmek; davranış	6580	davranmak; idare etmek, yürütmek; orkestra idare etmek; refakat etmek, yol göstermek, önderlik etmek; (fiz.) nakletmek, geçirmek, iletmek. conduct oneself davranmak.
2043	debut	ilk gösterim; başlangıç	8032	başlangıç; (sahneye) ilk çıkış bir genç kızın sosyeteye ilk defa takdim olunması. make one's debut ilk defa olarak çıkmak, ilk konser v.b.'ni vermek; sosyeteye ilk defa takdim olunmak.
2044	decade	on sene, on senelik müddet, onlu grup veya takım	8034	on sene, on senelik müddet, onlu grup veya takım.
2045	hollywood	Hollywood	14580	Hollywood.
2046	immediate	şimdiki, hazır, derhal olan, elde mevcut	15233	şimdiki, hazır, derhal olan, elde mevcut; vasıtasız; yakın. immediately  hemen, derhal, doğrudan dogruya. immediacy  yakınlık; doğrudan doğruya mevcut olma; (fels.) şuur; sezgi yoluyla bilinen şey.
2047	introduction	takdim, tanıştırma	16293	takdim, tanıştırma; tavsiye mektubu; kitap önsözü; başlangıç; giriş; ortaya getirilen veya konan şey.
2048	recognize	tanımak; fark etmek	25641	tanımak, kabul etmek, teslim ve itiraf etmek, itibar etmek; birine söz hakkı vermek; tanımak, bilmek; selâm vermek; takdir etmek. recogniz'able  tanınabilir.
2049	singer	şarkı söyleyen kimse, şarkıcı	28662	şarkı söyleyen kimse, şarkıcı; muganni, hanende; ozan, şair, aşık; ötücü kuş.
2050	survive	hayatta kalmak	31118	baki kalmak, başkasından fazla yaşamak, daha uzun ömrü olmak.
2051	therapy	terapi; tedavi	32096	tedavi, terapi.
2052	aim	amaç; hedef	617	maksat, emel, niyet, amaç, gaye;  nişan alma; hedef yönü; nişan tahtası, hedef.  aimless  gayesiz, hedefsiz, maksatsız.  take aim nişan almak.
2053	campus	üniversite yerleşkesi	4504	üniversite veya okul arazi ve avlusu;  okulda kalma cezası vermek.
2054	childhood	çocukluk devresi	5478	çocukluk devresi. second childhood yaşlılık devresindeki çocukluk hali.
2055	clinical	klinik	5925	klinik ile ilgili; duygulardan arınmış bilimsel, nesnel. clinical thermometer derece. clinically  klinik ile ilgili olarak.
2056	comedy	komedi	6308	komedi, güldürücü piyes veya filim.
2057	commander	kumandan, komutan	6329	kumandan, komutan; önder, baş; deniz binbaşısı. commander in chief başkomutan.
2058	comparison	karşılaştırma, mukayese	6419	karşılaştırma, mukayese; münasebet, ilişki, nispet, benzerlik; (gram.) sıfat veya zarflara üstünlük veya enüstünltk derecesini katan çekim şekli; benzetme, teşbih. in comparison with -e nispeten, -e nispetle, -e oranla.
2059	defeat	yenmek; mağlubiyet	8160	yenmek, mağlup etmek; hezimete uğratmak; bozmak, iptal etmek, ıskat etmek;  bozgun, yenilgi, mağlubiyet, hezimet. defeatism  bozgunculuk. defeatist   bozguncu kimse;  bozguncu.
2060	plastic	plastik	23387	plastik; naylon; şekil verilebilen; yoğrulabilen; plastik.plastic arts plastik sanatlar.plastic surgery plastik ameliyat.plasticity istenilen şekle konulabilme, yoğrulabilme.
2061	quote	alıntı yapmak; fiyat vermek	25204	aktarmak, aktarma yolu ile söylemek, birinin sözünü tekrarlamak; (tic.) (fiyat) söylemek; piyasa fiyatını söylelemek; (matb.) tırnak içine almak;  (k. dili) aktarılmış söz; tırnak işareti.
2062	suspect	şüphelenmek; şüpheli	31122	şüphelenmek, kuşkulanmak, hakkında şüpheye düşmek; hakkında kötü düşünmek.
2063	trend	eğilim; yönelim	32976	yönelmek, meyletmek, temayül etmek;  temayül, meyil, eğilim; yön. trendy  en son modayı izleyen.
2064	wealth	zenginlik; servet	35602	zenginlik, servet, varlık, para, mal; bolluk.
2065	wise	yoluyle	36035	(sonek) yoluyle; tarzda; -e bağlı olarak.
2066	approval	onay	1404	uygun bulma, onama,  onaylama, tasvip, razı olma, resmi izin. on  approval muhayyer olarak, beğenilmediği  takdirde geri verilmek şartıyla.
2067	convention	kongre, toplantı	6922	kongre, toplantı; mukavele, anlaşma; kabul edilen düzen; âdet, gelenek; (fels.) ulaşım. conventioneer  delege.
2068	employee	memur, işçi, bir başkası hesabına ücret karşılığında çalışan kimse	10056	memur, işçi, bir başkası hesabına ücret karşılığında çalışan kimse.
2069	equivalent	eşit, müsavi	10455	eşit, müsavi; muadil;  muadil olan şey; eşit miktar. equivalence  eşdeğerlik, denklik, eşitlik, muadil olma, tekabül, karşılama equivalently  eşdeğer şeklinde, eşdeğer olarak, eşit olarak.
2070	graduate	diploma vermek	13244	diploma vermek; diploma almak, mezun olmak; derecelere ayırmak; derecelere aynlmak; tedricen değişmek.
2071	monthly	ayda bir olan	19946	ayda bir olan; aylık;  aylık dergi;  ayda bir.
2072	neighborhood	civar, yöre, havali, semt, mahalle	20545	civar, yöre, havali, semt, mahalle; yakın komşular. in the neighborhood of a hundred kilo meters yaklaşık olarak yüz kilometre.
2073	permission	izin	22740	izin, müsaade, ruhsat; icazet.
2074	tradition	gelenek	32786	anane, gelenek, görenek, âdetler; sünnet; hadis.
2075	bush	çalı, çalılık, çalıya benzer şey çalılık arazi	4191	çalı, çalılık, çalıya benzer şey çalılık arazi; (mak.) zıvana, burç;  çalı ile örtmek, kaplamak, çalı ile destek yapmak; çalıdan yapılmış tarakla taramak. beat about the bush sadede gelmemek.
2076	cabinet	camlı ve raflı olan dolap	4291	camlı ve raflı olan dolap; kabine, bakanlar kurulu; küçük özel oda; dolap ile ilgili; gizli. cabinetmaker  ince iş yapan marangoz. cabinetwork  ince marangozluk.
2077	celebrate	kutlamak	5062	kutlamak, tesit etmek; ilân etmek; ayin yapmak, törenler tertip etmek; bayram yapmak celebra'tion  kutlama celebrator  kutlayan kimse.
2078	chocolate	çikolata	5555	çikolata; koyu kahverengi;  çikolatalı, çikolata ile yapılmış; çikolata renginde.
2079	contemporary	çağdaş	6825	çağdaş, muasır; aynı yaşta olan; günümüze ait. contemporary with ile çağdaş.
2080	criticism	eleştiri	7485	eleştirme, tenkit; yerme, kınama. adverse criticism yerme kusur.
2081	extensive	geniş, yaygın, şümullü, vâsi, uzatılmış	10938	geniş, yaygın, şümullü, vâsi, uzatılmış. extensively  geniş bir şekilde, yaygın olarak, ziyadesiyle, çok.
2082	formation	oluşum; biçimlenme	12066	şekil verme, düzenleme; tertip; oluş, teşekkül, formasyon; (ask.) birlik; (ask.) düzen; (jeol.) oluşum.
2083	highway	anayol, cadde	14435	anayol, cadde. highwayman  eşkıya.
2084	historic	tarihsel, tarihi, tarihe geçmiş	14497	tarihsel, tarihi, tarihe geçmiş; önemli, mühim. historic character tarihi şahsiyet. historic method tarihsel yöntem. historic moment dönüm noktası, tarihi an.
2085	monster	canavar	19936	canavar; acayip ve doğaüstü şey; hilkat garibesi, ucube; gaddar kimse; dev gibi şey veya kimse;  buyük, iri.
2086	rough	pürüzlendirmek	26658	pürüzlendirmek; (spor) itip kakmak. rough in, rough out kabataslak yapmak. rough it rahatına fazla düşkün olmamak, sıkıntılara katlanmak; çok basit bir şekilde yaşamak veya seyahat etmek. rough up itip kakmak, dövmek.
2087	speaker	konuşan veya söyleyen kimse	29536	konuşan veya söyleyen kimse; spiker; sözcü; hatip; meclis başkanı. speakership  meclis başkanlığı.
2088	topic	konu	32627	konu, mevzu.
2089	vast	geniş engin, vasi	34789	geniş engin, vasi; çok büyük; çok, kulliyetli. vas'titude vast'ness  genişlik; büyüklük; çokluk. vastly  çok. vast'y  (şiir) büyük, geniş, engin.
2090	consistent	tutarlı	6750	birbirine uygun, aralarında mutabakat olan, birbirini tutan, insicamlı,tutarlı. consistently  devamlı olarak, mütemadiyen.
2091	earn	kazanmak	9653	kazanmak, edinmek, hak etmek.
2092	percentage	yüzde; oran	22642	yüzde yüzdelik, yüzde hesabına göre oran; kısım, nispet; (k. dili) kâr.
2093	pocket	cebe yerleştirmek, cebe koymak	23555	cebe yerleştirmek, cebe koymak; cebine atmak, (slang) iç etmek; gizlemek, saklamak, bastırmak.
2094	regardless	bakmayarak, ehemmiyet vermeden, önemsemeden	25846	bakmayarak, ehemmiyet vermeden, önemsemeden. regardless of ne olursa olsun. regardlessly  ehemmiyet vermeyerek, dikkatsizce.
2095	relative	akraba; göreli	25911	nispi, izafi, göreli, bağıntılı; bağlı, ilişkin, dair; başkasına nispetle vaki olan, mensup; (gram.) nispi;  akraba, hısım. relatively  nispeten. relativeness  nispet, münasebet.
2096	rescue	kurtarmak; kurtarma	26099	kurtarmak, imdadına yetişip kurtarmak;  kurtuluş; kurtarış, imdadına yetişme.
2097	soccer	futbol, ayaktopu	29178	futbol, ayaktopu.
2098	temporary	geçici	31821	muvakkat, geçici. temporary possession geçici tasarruf veya mülk. temporar'ily  muvakkaten, geçici olarak. temporar'iness geçicilik, muvakkatlik..
2099	audio	ses; işitsel	1929	kulağa hitap eden, müzik  reprodüksiyonuyla ilgili. audio frequency  ses dalgalarının frekansı.
2100	circuit	devretmek, dolaşmak	5725	devretmek, dolaşmak; turneye çıkmak.
2101	defend	savunmak müdafaa etmek, muhafaza etmek, korumak, saklamak, himaye etmek	8166	savunmak müdafaa etmek, muhafaza etmek, korumak, saklamak, himaye etmek.
2102	format	biçim; format	12065	(matb.) kitabın genel düzeni; (program) genel biçim.
2103	gap	boşluk; fark	12626	(ped, ping) yarık, rahne; geçit; aralık, fasıla; açıklık, ayrılık;  yol açmak, yarmak, aralık meydana getirmek
2104	harm	zarar vermek; zarar	13907	zarar, hasar; şer, kötülük; felaket;  zarar vermek, kötülük etmek. out of harm' way emniyette, emin yerde .
2105	household	hane; ev halkı	14802	ev halkı, aile;  eve ait; evcil. household word her gün kullanılan kelime. householder  aile reisi, evsahibi.
2106	mirror	ayna	19605	ayna;  ayna gibi göstermek, aksetmek. mirror writing aynada görüldügü gibi ters yazı.
2107	proposal	teklif	24500	teklif; teklif etme; evlenme teklifi.
2108	technique	teknik; yöntem	31717	teknik, yordam.
2109	adventure	tehlikeye atmak, şansa bırakmak	413	tehlikeye atmak, şansa bırakmak; cesaret etmek, göze almak, atılmak. adventurer  maceraperest kimse. adventurous  macera seven; cüretli; cesaret isteyen (bir iş),
2110	assessment	değerlendirme	1729	takdir edilen kıymet;  kıymet takdir etme; vergi; ödenecek veya  toplanacak meblâğ .
2111	awful	korkunç; çok kötü	2118	korkunç, dehşet verici; müthiş,  berbat, çok kötü; (k.dili.) heybetli, iri awfully  (k.dili.) çok; çok fena.
2112	bedroom	yatak odası	2715	yatak odası.
2113	belief	inanç	2806	inanç, itikat, iman, kanaat, akide, doktrin.
2114	bound	sekmek, sıçrayarak gitmek, zıplamak, fırlamak	3654	sekmek, sıçrayarak gitmek, zıplamak, fırlamak; sektirmek, sıçratmak, zıplatmak.
2115	elsewhere	başka yerde	9958	başka yere, başka yerde.
2116	hip	kuşburnu	14466	kuşburnu (güI meyvası)
2117	offensive	çirkin, iğrenç	21214	çirkin, iğrenç; saldırıyla ilgili, hücuma ait; yakışmaz; kötü; hakaret edici;  saldırı, hücum. offensively  tiksindirerek; hücum ederek. offensiveness  tiksindiricilik.
2118	package	paket	21916	paket, bohça; paket etme; denk balama; ambalaj ücreti; denk sandığı; ünite. package deal takımı ile alışveriş.
2119	poverty	yoksulluk, fakirlik, parasızlık, zaruret, ihtiyaç	23938	yoksulluk, fakirlik, parasızlık, zaruret, ihtiyaç; yetersizlik, kifayetsizlik, eksiklik. poverty line fakirlik ile orta hallilik arasındaki gelir sınırı. poverty-strick-en  çok fakir, muhtaç, zarurete düşmüş, yoksul .
2120	ridiculous	gülünç; saçma	26386	gülünecek, gülünç: maskaralık nev'inden: tuhaf, saçma. ridiculously  maskaraca, gülünç surette. ridiculousness  tuhaflık, gülünçlük.
2121	server	hizmetçi	28047	hizmetçi; servis atan oyuncu; tepsi.
2122	shock	taranmamış kabarık saç, kıtık gibi saç	28352	taranmamış kabarık saç, kıtık gibi saç. shock'headed  sık ve kabarık saçlı, saçları fırça gibi.
2123	violent	şiddetli; saldırgan	35120	sert, şiddetli, zorlu, cebirli, kuvvetli; göz alan (renk); zorla yapılan; fena. violent death kaza sonucu ölüm, cebren ölüm. violently  şiddetle, vahşice.
2124	acid	asit; asidik	238	asit, ekşi şey, ekşi;  asit  niteliğinde; asit fazlalığı olan. acid'ity  ekşilik , ekşime, asidite.
2125	actress	kadın oyuncu	293	artist, aktris, kadın oyuncu.
2126	administrative	yönetimle ilgili, idari	371	yönetimle ilgili, idari.
2127	anxiety	kaygı; endişe	1237	endişe, kuruntu, vesvese , korku, huzursuzluk; büyük arzu.
2128	bonus	ikramiye; ek ödül	3504	ikramiye, fazladan ödenen bir meblağ, prim.
2129	castle	kale	4895	kale. şato, hisar; (satranç) kale. castle in the air, castle in Spain hülya, hayal.
2130	charity	hayır kurumu; yardımseverlik	5326	hayırseverlik, yardımseverlik; merhamet; sadaka; hayır işi; hayır cemiyeti, yardım derneği charity school (ing) hayat okulu.
2131	curious	meraklı	7713	meraklı, mütecessis, her şeyi öğrenmek isteyen; tuhaf, nadir, garip, acayip, görülmemiş; dikkat çeken; çok süslü. curiously  merakla; tuhaf bir tarzda, garip bir şekilde.
2132	encourage	teşvik etmek; cesaretlendirmek	10118	cesaret vermek, teşci etmek, teşvik etmek; himaye etmek. encouragement  cesaret verme, teşvik etme, himaye etme.
2133	fort	kale, hisar	12086	kale, hisar; istihkâm. hold the fort savunmak, müdafaa etmek; işi devam ettirmek, yürütmek.
2134	gross	on iki düzine, yüz kırk dört adet	13457	on iki düzine, yüz kırk dört adet; brüt; küme, hepsi, bütünü. in gross toptan, bütünüyle. by the gross pakette yüz kırk dört tane olarak.
2135	hungry	aç	14908	aç, karnı acıkmış; istekli; kuru, kıraç. hungrily  açlıkla; arzuyla.
2136	innocent	masum, suçsuz, kabahatsiz, günahsız, zararsız	15927	masum, suçsuz, kabahatsiz, günahsız, zararsız; saf, aklı ermez; azade; kanuni, hilesiz;  masum kimse veya çocuk; aptal kimse. innocent emusement zararsız eğlence. innocently  masumca, saflıkla.
2137	palace	saray	21969	saray; saray gibi bina; muhteşem ev; (k. dili) lüks eğlence yeri veya galeri.
2138	penalty	ceza	22550	ceza; para cezası; (spor) penaltı.
2139	pet	evde beslenen ve çok sevilen hayvan	22835	(-ted, -ting) evde beslenen ve çok sevilen hayvan; sevilen kimse veya şey;  evcil; gözde, en çok sevilen;  sevmek, okşamak. pet aversion, pet hate en çok nefret edilen şey veya kimse. teacher' pet öğretmenin gözdesi.
2140	photography	fotoğrafçılık	22999	fotoğrafçılık.
2141	protest	protesto etmek	24551	protesto etmek; itiraz etmek; temin etmek, ciddi olarak taahhüt etmek, kuvvetle iddia etmek.
2142	publication	yayın; yayımlama	24708	yayımlama, ilan etme; yayım, yayma; yayın, yayımlanmış eser.
2143	refer	değinmek; yönlendirmek	25779	vermek, isnat etmek, hamletmek; göndermek, havale etmek, müracaat etmek; işaret etmek, ima etmek; bakmak, danışmak, sormak. referable  havale edilir.
2144	rome	Roma	26579	Roma.
2145	select	seçme, seçilmiş, seçkin, mümtaz, güzide, üstün	27775	seçme, seçilmiş, seçkin, mümtaz, güzide, üstün; seçmesini bilen, titiz, ince eleyip sık dokuyan;  seçmek, ayırmak, intihap etmek. selectness  seçkinlik.
2146	unusual	alışılmadık	34425	görülmedik, nadir, seyrek, müstesna, olağandışı. unusually  nadiren, seyrekçe. unusualness  nadirlik, fevkaladelik.
2147	badly	fena halde	2273	fena halde; (k.dili.) çok .
2148	bath	banyo, hamam, banyo küveti, banyo dairesi, sıcak	2578	banyo, hamam, banyo küveti, banyo dairesi, sıcak; kaplıca; fotoğraf, filim v.b. banyosu;  ing. banyo etmek, yıkamak. bathhouse  hamam. bathrobe  bornoz. bathroom  banyo dairesi; tuvalet. bathtub  banyo kuveti.
2149	chase	hakketmek, oymak	5349	(t),  hakketmek, oymak; kabartma işleri yapmak (maden üzerine);  (matb.) harflerin muhafazasında kullanılan demir çerçeve; oluk.
2150	guarantee	kefil	13508	kefil; kefalet, teminat; garanti;  garanti etmek, kefil olmak; başkasının sorumluluğunu üzerine almak .
2151	happiness	mutluluk	13860	saadet, mutluluk, bahtiyarlık; uygunluk.
2152	horrible	müthiş, dehşetli, korkunç, iğrenç	14723	müthiş, dehşetli, korkunç, iğrenç; (k.dili) aşırı. horribleness  korkunçluk, dehşet. horribly  korkunç bir şekilde, iğrenç olarak; (k.dili) müthiş bir şekilde; çirkin olarak; çok, pek çok.
2153	legend	efsane	17630	masal, hikaye, menkıbe; azizlerin hayatına dair hikaye; sikke veya harita ve resim üzerindeki yazı. legendary  masal türünden, rivayet kabilinden.
2154	producer	müstahsil, üretici, fabrikatör	24363	müstahsil, üretici, fabrikatör; hasıl eden kimse, meydana getiren kimse; sin yapımcı, prodüktör; karbon monoksit gazının istihsal olunduğu ocak. producer goods hammadde, üretim maddeleri.
2155	wage	devam etmek, sürdürmek	35354	(mücadele, münakaşa, savaş) devam etmek, sürdürmek.
2156	avenue	cadde; yol	2076	cadde, geniş yol, sokak; girilecek veya çıkılacak yol; iki tarafı ağaçlıklı yol.
2157	confident	kendine güvenen; emin	6614	emin, inanmış, kani; cüretli, atılgan. confidently  güvenle, tereddüt etmeden.
2158	desk	masa; danışma birimi	8492	yazı masası, yazıhane; daire, şube, masa.
2159	electricity	elektrik	9877	elektrik; elektrik bahsi, elektrik bilimi static electricity statik elektrik.
2160	gym	spor salonu	13620	spor salonu; beden eğitimi.
2161	helpful	yardımcı; faydalı	14212	faydalı, yararlı, işe yarar, yardımcı; yardımsever. helpfully  faydalı bir şekilde. helpfulness  yardım, işe yarama, elverişlilik.
2162	horror	dehşet, yılgı, korku	14726	dehşet, yılgı, korku; nefret, tiksinme, istikrah; dehşetli veya korkunç şey. the horrors (k.dili.) dehşet veya korku buhranı; çok içki içenlerde bazen görülen korku nöbeti.
2163	label	etiket	17241	(ed, ing veya led, ling) yafta, etiket; nitelendirici isim veya cümlecik;  etiket yapıştırmak, etiketlemek; tasnif etmek, sınıflandırmak; (mim.) kapı veya pencereye saçak yapmak.
2164	output	çıktı; üretim	21671	randıman, verim; elektrik enerjisi.
2165	pizza	pizza	23313	pizza.
2166	reveal	pencere veya kapı çerçevesinden duvarın kenarına kadar olan kısım, açıt yanağı	26264	(mim.) pencere veya kapı çerçevesinden duvarın kenarına kadar olan kısım, açıt yanağı.
2167	romantic	bir aşk ilişkisiyle ilgili	26577	bir aşk ilişkisiyle ilgili; romantik; romana benzer, hayali. romantically  romantik olarak. romanticism  romantizm. romanticist  ro- mantik kimse.
2168	strategic	stratejik	30430	stratejik; harp bilgisine uygun; şartlara uygun, elverişli, ümit verici.
2169	android	insan şeklinde	984	insan şeklinde;  insan şeklinde robot.
2170	anger	öfke	1006	öfke, hiddet, gazap, dargınlık ;  darıltmak, kızdırmak, öfkelendirmek.
2171	assist	yardım etmek, muavenet etmek, iane vermek, desteklemek	1740	yardım etmek, muavenet  etmek, iane vermek, desteklemek;  yardım  assist at hazır bulunmak assistance  yardım, muavenet, imdat, iane assistant   muavin, yardımcı assistant professor  asistan .
2172	behalf	yan, taraf	2773	yan, taraf. on behalf of (birisinin) namına, adına.
2173	belt	kemer bağlamak	2831	kemer bağlamak; kuşatmak; etrafını çevirmek; kayışla dövmek. belted  kuşaklı, çemberlenmiş. belting  kayış; kayış tertibatı.
2174	capture	yakalamak; ele geçirmek	4674	zaptetmek, zorla ele geçirmek; esir etmek;  zaptetme, ele geçirme; esir, ganimet. capturer  ele geçiren kimse.
2175	ceremony	tören	5162	tören, merasim; ayin; resmiyet, protokol; nazik ve uygar bir davranış. stand on ceremony resmi davranmak. without ceremony teklifsizce.
2176	comic	güldürücü, gülünç, komik	6321	güldürücü, gülünç, komik; komedi ile ilgili;  komedi oyuncusu. comics, comic strip karikatür şeklinde hikâye serisi. comic book miki tipinde resimli çocuk kitabı. comic opera operakomik.
2177	efficient	verimli	9786	randıman oranı yüksek olan; yeterli, ehliyetli, işbilir, becerikli; etkili, tesirli. efficient cause tesir edici sebep. efficiently  yeterli olarak; becerikli olarak.
2178	electrical	elektriksel	9875	elektrikli, elektriğe ait, elektriksel. electrical engineer elektrik mühendisi. electrically  elektrik kuvvetiyle.
2179	hockey	hokey oyunu	14535	hokey oyunu; hokey sopası.
2180	kit	yavru kedi encik enik	17100	yavru kedi encik enik.
2181	moscow	Moskova	20038	Moskova.
2182	newly	yakın zamanlarda	20630	yakın zamanlarda; yeniden. newly-wed  yeni evli kimse.
2183	participate	katılmak, iştirak etmek, hissedar olmak, ortak olmak, pay almak	22267	katılmak, iştirak etmek, hissedar olmak, ortak olmak, pay almak. participate with a person in a thing bir kimse ile bir şeye iştirak etmek. participa'tion  katılma, iştirak; ortaklık.
2184	stomach	mide, karın	30324	mide, karın; iştah; istek;  sindirmek, hazmetmek; tahammül etmek, katlanmak, dayanmak. stomach ache mide ağrısı. stomach pump mide yıkamaya mahsus tulumba. stomach tooth alt azıdişi. stomachful  karın veya mide dolusu.
2185	ugly	çirkin	33547	çirkin; iğrenç; korkunç; (k. dili) ters, huysuz; nahoş; fırtınalı. ugliness  çirkin veya iğrenç olma. ugly duckling küçüklüğünde çirkin olan fakat sonra gelişip güzelleşen kimse.
2186	virus	virüs	35155	virüs; hastalıktan ileri gelen zehir; aşı için kullanılan zehirli madde; ahlâki veya manevi zehir.
2187	aspect	yön; görünüş	1694	görünüş, gösteriş, veçhe,  suret; yüz, çehre, sima; bakış, görüş, nazar;  safha, hal, durum, vaziyet; (astrol.) gezegenlerin  birbirine oranla durumları.
